expfile,m,n,k
exp_dgemm_independent-sizes_1.csv,193,5650,6722
exp_dgemm_independent-sizes_1.csv,253,544,9415
exp_dgemm_independent-sizes_1.csv,1241,3798,995
exp_dgemm_independent-sizes_1.csv,90,4441,7226
exp_dgemm_independent-sizes_1.csv,2038,3670,331
exp_dgemm_independent-sizes_1.csv,2535,1443,1510
exp_dgemm_independent-sizes_1.csv,587,278,4408
exp_dgemm_independent-sizes_1.csv,448,184,893
exp_dgemm_independent-sizes_1.csv,256,1236,3188
exp_dgemm_independent-sizes_1.csv,2667,5956,370
exp_dgemm_independent-sizes_1.csv,807,9444,182
exp_dgemm_independent-sizes_1.csv,3302,1287,1966
exp_dgemm_independent-sizes_1.csv,3809,2648,675
exp_dgemm_independent-sizes_1.csv,1702,804,2893
exp_dgemm_independent-sizes_1.csv,836,1703,2041
exp_dgemm_independent-sizes_1.csv,748,1369,1023
exp_dgemm_independent-sizes_1.csv,3910,498,2131
exp_dgemm_independent-sizes_1.csv,1121,448,3363
exp_dgemm_independent-sizes_1.csv,7456,2363,544
exp_dgemm_independent-sizes_1.csv,185,4148,1146
exp_dgemm_independent-sizes_1.csv,2995,68,3668
exp_dgemm_independent-sizes_1.csv,2770,303,2540
exp_dgemm_independent-sizes_1.csv,617,2502,1208
exp_dgemm_independent-sizes_1.csv,1317,1681,2076
exp_dgemm_independent-sizes_1.csv,1509,812,958
exp_dgemm_independent-sizes_1.csv,3218,2470,800
exp_dgemm_independent-sizes_1.csv,4342,209,1506
exp_dgemm_independent-sizes_1.csv,1777,1233,1113
exp_dgemm_independent-sizes_1.csv,343,4392,2271
exp_dgemm_independent-sizes_1.csv,6877,6519,174
exp_dgemm_independent-sizes_1.csv,82,8083,4065
exp_dgemm_independent-sizes_1.csv,5956,466,3417
exp_dgemm_independent-sizes_1.csv,5233,8,5372
exp_dgemm_independent-sizes_1.csv,878,1011,7976
exp_dgemm_independent-sizes_1.csv,2562,958,2240
exp_dgemm_independent-sizes_1.csv,2491,296,3224
exp_dgemm_independent-sizes_1.csv,4834,1136,1494
exp_dgemm_independent-sizes_1.csv,200,8720,1193
exp_dgemm_independent-sizes_1.csv,8880,785,380
exp_dgemm_independent-sizes_1.csv,3047,159,4170
exp_dgemm_independent-sizes_1.csv,11,5434,9525
exp_dgemm_independent-sizes_1.csv,127,3970,4543
exp_dgemm_independent-sizes_1.csv,9948,9650,29
exp_dgemm_independent-sizes_1.csv,61,8711,9019
exp_dgemm_independent-sizes_1.csv,684,1535,8362
exp_dgemm_independent-sizes_1.csv,144,3790,9795
exp_dgemm_independent-sizes_1.csv,6758,508,1492
exp_dgemm_independent-sizes_1.csv,7865,4010,171
exp_dgemm_independent-sizes_1.csv,788,1688,5088
exp_dgemm_independent-sizes_1.csv,1690,598,2894
exp_dgemm_independent-sizes_1.csv,368,527,2765
exp_dgemm_independent-sizes_1.csv,15,318,2911
exp_dgemm_independent-sizes_1.csv,1683,177,8216
exp_dgemm_independent-sizes_1.csv,4856,106,6155
exp_dgemm_independent-sizes_1.csv,5515,3672,7
exp_dgemm_independent-sizes_1.csv,2300,2723,859
exp_dgemm_independent-sizes_1.csv,7,2967,3990
exp_dgemm_independent-sizes_1.csv,2518,6163,27
exp_dgemm_independent-sizes_1.csv,8569,1285,858
exp_dgemm_independent-sizes_1.csv,692,2402,5494
exp_dgemm_independent-sizes_1.csv,280,8017,2287
exp_dgemm_independent-sizes_1.csv,242,507,5371
exp_dgemm_independent-sizes_1.csv,103,3387,4412
exp_dgemm_independent-sizes_1.csv,7304,3602,310
exp_dgemm_independent-sizes_1.csv,735,9916,1360
exp_dgemm_independent-sizes_1.csv,704,465,6772
exp_dgemm_independent-sizes_1.csv,6372,720,626
exp_dgemm_independent-sizes_1.csv,4308,1624,1139
exp_dgemm_independent-sizes_1.csv,2772,909,257
exp_dgemm_independent-sizes_1.csv,912,3576,1884
exp_dgemm_independent-sizes_1.csv,1239,734,3204
exp_dgemm_independent-sizes_1.csv,3614,4231,546
exp_dgemm_independent-sizes_1.csv,7156,186,6015
exp_dgemm_independent-sizes_1.csv,1586,9536,630
exp_dgemm_independent-sizes_1.csv,2693,1321,494
exp_dgemm_independent-sizes_1.csv,108,6531,779
exp_dgemm_independent-sizes_1.csv,5456,8359,176
exp_dgemm_independent-sizes_1.csv,3972,369,2898
exp_dgemm_independent-sizes_1.csv,8142,174,3333
exp_dgemm_independent-sizes_1.csv,3550,1268,1091
exp_dgemm_independent-sizes_1.csv,1360,5645,310
exp_dgemm_independent-sizes_1.csv,360,4288,3491
exp_dgemm_independent-sizes_1.csv,1132,183,2883
exp_dgemm_independent-sizes_1.csv,2862,347,9746
exp_dgemm_independent-sizes_1.csv,5811,287,2622
exp_dgemm_independent-sizes_1.csv,4071,1974,253
exp_dgemm_independent-sizes_1.csv,2813,7925,390
exp_dgemm_independent-sizes_1.csv,4636,713,2197
exp_dgemm_independent-sizes_1.csv,4389,101,3162
exp_dgemm_independent-sizes_1.csv,74,7499,1983
exp_dgemm_independent-sizes_1.csv,285,1396,7897
exp_dgemm_independent-sizes_1.csv,2867,5695,205
exp_dgemm_independent-sizes_1.csv,2130,645,3742
exp_dgemm_independent-sizes_1.csv,3455,655,1879
exp_dgemm_independent-sizes_1.csv,35,8806,260
exp_dgemm_independent-sizes_1.csv,5486,2180,61
exp_dgemm_independent-sizes_1.csv,16,232,2841
exp_dgemm_independent-sizes_1.csv,9863,1463,134
exp_dgemm_independent-sizes_1.csv,129,3335,9241
exp_dgemm_independent-sizes_1.csv,9523,7710,44
exp_dgemm_independent-sizes_1.csv,4415,6619,52
exp_dgemm_independent-sizes_1.csv,4372,476,4553
exp_dgemm_independent-sizes_1.csv,163,4837,1974
exp_dgemm_independent-sizes_1.csv,1128,7254,263
exp_dgemm_independent-sizes_1.csv,3076,3220,283
exp_dgemm_independent-sizes_1.csv,6235,55,5073
exp_dgemm_independent-sizes_1.csv,9536,285,2660
exp_dgemm_independent-sizes_1.csv,111,9341,1269
exp_dgemm_independent-sizes_1.csv,1612,5590,237
exp_dgemm_independent-sizes_1.csv,482,5755,1028
exp_dgemm_independent-sizes_1.csv,276,3843,1819
exp_dgemm_independent-sizes_1.csv,9783,6000,82
exp_dgemm_independent-sizes_1.csv,9113,3007,13
exp_dgemm_independent-sizes_1.csv,1824,74,3173
exp_dgemm_independent-sizes_1.csv,4002,2867,723
exp_dgemm_independent-sizes_1.csv,546,3877,2434
exp_dgemm_independent-sizes_1.csv,282,8020,2616
exp_dgemm_independent-sizes_1.csv,4735,413,2664
exp_dgemm_independent-sizes_1.csv,7507,559,503
exp_dgemm_independent-sizes_1.csv,112,7156,5895
exp_dgemm_independent-sizes_1.csv,417,66,380
exp_dgemm_independent-sizes_1.csv,2114,1509,2874
exp_dgemm_independent-sizes_1.csv,684,1556,339
exp_dgemm_independent-sizes_1.csv,1137,625,8265
exp_dgemm_independent-sizes_1.csv,44,3000,308
exp_dgemm_independent-sizes_1.csv,6707,244,1405
exp_dgemm_independent-sizes_1.csv,6183,260,2657
exp_dgemm_independent-sizes_1.csv,7560,552,1856
exp_dgemm_independent-sizes_1.csv,5655,434,3903
exp_dgemm_independent-sizes_1.csv,6276,56,9920
exp_dgemm_independent-sizes_1.csv,112,9736,4163
exp_dgemm_independent-sizes_1.csv,6977,728,1545
exp_dgemm_independent-sizes_1.csv,9040,4618,124
exp_dgemm_independent-sizes_1.csv,890,9308,823
exp_dgemm_independent-sizes_1.csv,284,4272,1548
exp_dgemm_independent-sizes_1.csv,4899,2842,123
exp_dgemm_independent-sizes_1.csv,5363,715,2215
exp_dgemm_independent-sizes_1.csv,612,1613,986
exp_dgemm_independent-sizes_1.csv,228,4650,8494
exp_dgemm_independent-sizes_1.csv,526,1053,1255
exp_dgemm_independent-sizes_1.csv,464,4123,5048
exp_dgemm_independent-sizes_1.csv,1320,5692,274
exp_dgemm_independent-sizes_1.csv,39,621,6888
exp_dgemm_independent-sizes_1.csv,3872,769,2000
exp_dgemm_independent-sizes_1.csv,8117,7344,38
exp_dgemm_independent-sizes_1.csv,207,7706,5211
exp_dgemm_independent-sizes_1.csv,1355,3434,2013
exp_dgemm_independent-sizes_1.csv,2083,1404,3214
exp_dgemm_independent-sizes_1.csv,7633,2327,190
exp_dgemm_independent-sizes_1.csv,846,1860,3621
exp_dgemm_independent-sizes_1.csv,2861,133,3219
exp_dgemm_independent-sizes_1.csv,1260,1645,3807
exp_dgemm_independent-sizes_1.csv,383,1702,9584
exp_dgemm_independent-sizes_1.csv,401,4063,1138
exp_dgemm_independent-sizes_1.csv,302,8852,2427
exp_dgemm_independent-sizes_1.csv,187,3644,8657
exp_dgemm_independent-sizes_1.csv,708,37,1937
exp_dgemm_independent-sizes_1.csv,232,2618,7883
exp_dgemm_independent-sizes_1.csv,3706,210,7890
exp_dgemm_independent-sizes_1.csv,1386,2096,155
exp_dgemm_independent-sizes_1.csv,1193,1170,6761
exp_dgemm_independent-sizes_1.csv,3391,3526,707
exp_dgemm_independent-sizes_1.csv,8075,9631,15
exp_dgemm_independent-sizes_1.csv,38,9321,2875
exp_dgemm_independent-sizes_1.csv,3340,215,6147
exp_dgemm_independent-sizes_1.csv,1120,4282,942
exp_dgemm_independent-sizes_1.csv,146,6690,5437
exp_dgemm_independent-sizes_1.csv,309,2392,8929
exp_dgemm_independent-sizes_1.csv,1134,2327,921
exp_dgemm_independent-sizes_1.csv,1273,3458,1094
exp_dgemm_independent-sizes_1.csv,874,2855,1634
exp_dgemm_independent-sizes_1.csv,2213,975,3240
exp_dgemm_independent-sizes_1.csv,2797,90,2513
exp_dgemm_independent-sizes_1.csv,942,5239,1343
exp_dgemm_independent-sizes_1.csv,7114,131,5407
exp_dgemm_independent-sizes_1.csv,509,884,9310
exp_dgemm_independent-sizes_1.csv,563,1019,2045
exp_dgemm_independent-sizes_1.csv,2477,527,6979
exp_dgemm_independent-sizes_1.csv,5317,136,5850
exp_dgemm_independent-sizes_1.csv,688,639,3609
exp_dgemm_independent-sizes_1.csv,4230,218,8656
exp_dgemm_independent-sizes_1.csv,14,3329,5477
exp_dgemm_independent-sizes_1.csv,7126,216,2757
exp_dgemm_independent-sizes_1.csv,150,3899,8579
exp_dgemm_independent-sizes_1.csv,3395,818,449
exp_dgemm_independent-sizes_1.csv,364,6630,2591
exp_dgemm_independent-sizes_1.csv,690,7382,352
exp_dgemm_independent-sizes_1.csv,1839,9840,245
exp_dgemm_independent-sizes_1.csv,484,4549,3376
exp_dgemm_independent-sizes_1.csv,2513,1500,1037
exp_dgemm_independent-sizes_1.csv,318,4958,2873
exp_dgemm_independent-sizes_1.csv,464,168,13
exp_dgemm_independent-sizes_1.csv,7527,7011,22
exp_dgemm_independent-sizes_1.csv,3357,566,1022
exp_dgemm_independent-sizes_1.csv,540,7334,1531
exp_dgemm_independent-sizes_1.csv,9460,5741,3
exp_dgemm_independent-sizes_1.csv,995,1858,2190
exp_dgemm_independent-sizes_1.csv,3157,1156,193
exp_dgemm_independent-sizes_1.csv,3586,4721,429
exp_dgemm_independent-sizes_1.csv,3529,3555,742
exp_dgemm_independent-sizes_1.csv,2186,6511,612
exp_dgemm_independent-sizes_1.csv,366,6836,1042
exp_dgemm_independent-sizes_1.csv,1228,2395,570
exp_dgemm_independent-sizes_1.csv,7924,196,28
exp_dgemm_independent-sizes_1.csv,8713,82,8976
exp_dgemm_independent-sizes_1.csv,3546,5665,256
exp_dgemm_independent-sizes_1.csv,7010,132,9857
exp_dgemm_independent-sizes_1.csv,3707,405,2658
exp_dgemm_independent-sizes_1.csv,260,1178,1260
exp_dgemm_independent-sizes_1.csv,912,8013,1234
exp_dgemm_independent-sizes_1.csv,190,1167,7546
exp_dgemm_independent-sizes_1.csv,356,6241,2471
exp_dgemm_independent-sizes_1.csv,3266,5038,69
exp_dgemm_independent-sizes_1.csv,1774,259,3607
exp_dgemm_independent-sizes_1.csv,1414,907,1527
exp_dgemm_independent-sizes_1.csv,345,2869,6114
exp_dgemm_independent-sizes_1.csv,438,2740,1159
exp_dgemm_independent-sizes_1.csv,2525,5778,595
exp_dgemm_independent-sizes_1.csv,422,5370,1636
exp_dgemm_independent-sizes_1.csv,7107,7232,58
exp_dgemm_independent-sizes_1.csv,56,7392,579
exp_dgemm_independent-sizes_1.csv,991,106,6303
exp_dgemm_independent-sizes_1.csv,1604,6818,198
exp_dgemm_independent-sizes_1.csv,1344,2330,92
exp_dgemm_independent-sizes_1.csv,4571,3818,178
exp_dgemm_independent-sizes_1.csv,246,1558,9312
exp_dgemm_independent-sizes_1.csv,1652,4076,1479
exp_dgemm_independent-sizes_1.csv,634,8394,997
exp_dgemm_independent-sizes_1.csv,181,3815,9224
exp_dgemm_independent-sizes_1.csv,2320,4823,151
exp_dgemm_independent-sizes_1.csv,9103,143,4153
exp_dgemm_independent-sizes_1.csv,125,9013,6968
exp_dgemm_independent-sizes_1.csv,665,3247,1773
exp_dgemm_independent-sizes_1.csv,909,1951,4081
exp_dgemm_independent-sizes_1.csv,7018,6916,200
exp_dgemm_independent-sizes_1.csv,502,9676,396
exp_dgemm_independent-sizes_1.csv,584,4281,1874
exp_dgemm_independent-sizes_1.csv,5517,132,6177
exp_dgemm_independent-sizes_1.csv,7191,1884,726
exp_dgemm_independent-sizes_1.csv,5201,51,5937
exp_dgemm_independent-sizes_1.csv,41,5541,5769
exp_dgemm_independent-sizes_1.csv,6769,1276,926
exp_dgemm_independent-sizes_1.csv,6152,185,8679
exp_dgemm_independent-sizes_1.csv,1690,236,7475
exp_dgemm_independent-sizes_1.csv,6841,1842,723
exp_dgemm_independent-sizes_1.csv,4096,176,4400
exp_dgemm_independent-sizes_1.csv,6887,287,1105
exp_dgemm_independent-sizes_1.csv,4401,2301,958
exp_dgemm_independent-sizes_1.csv,9682,44,4418
exp_dgemm_independent-sizes_1.csv,331,1159,21
exp_dgemm_independent-sizes_1.csv,6906,37,5065
exp_dgemm_independent-sizes_1.csv,7831,560,1240
exp_dgemm_independent-sizes_1.csv,3001,2000,1535
exp_dgemm_independent-sizes_1.csv,6921,153,8309
exp_dgemm_independent-sizes_1.csv,157,2953,7470
exp_dgemm_independent-sizes_1.csv,8966,1552,538
exp_dgemm_independent-sizes_1.csv,7826,546,1855
exp_dgemm_independent-sizes_1.csv,6537,5071,235
exp_dgemm_independent-sizes_1.csv,9232,1029,905
exp_dgemm_independent-sizes_1.csv,801,83,7680
exp_dgemm_independent-sizes_1.csv,3317,28,3152
exp_dgemm_independent-sizes_1.csv,3981,6527,133
exp_dgemm_independent-sizes_1.csv,6180,395,987
exp_dgemm_independent-sizes_1.csv,1213,5168,862
exp_dgemm_independent-sizes_1.csv,122,6809,3243
exp_dgemm_independent-sizes_1.csv,6873,9516,38
exp_dgemm_independent-sizes_1.csv,168,8709,2425
exp_dgemm_independent-sizes_1.csv,1387,775,5843
exp_dgemm_independent-sizes_1.csv,6229,5808,250
exp_dgemm_independent-sizes_1.csv,1184,3674,2262
exp_dgemm_independent-sizes_1.csv,313,1233,4295
exp_dgemm_independent-sizes_1.csv,160,2602,3919
exp_dgemm_independent-sizes_1.csv,279,4237,5111
exp_dgemm_independent-sizes_1.csv,9600,574,140
exp_dgemm_independent-sizes_1.csv,8982,134,6610
exp_dgemm_independent-sizes_1.csv,2934,727,1132
exp_dgemm_independent-sizes_1.csv,771,150,4993
exp_dgemm_independent-sizes_1.csv,520,56,4630
exp_dgemm_independent-sizes_1.csv,884,1007,5468
exp_dgemm_independent-sizes_1.csv,324,7509,1645
exp_dgemm_independent-sizes_1.csv,6401,2655,24
exp_dgemm_independent-sizes_1.csv,611,1758,9053
exp_dgemm_independent-sizes_1.csv,325,3809,6774
exp_dgemm_independent-sizes_1.csv,4550,6165,108
exp_dgemm_independent-sizes_1.csv,2433,5920,302
exp_dgemm_independent-sizes_1.csv,89,2024,6586
exp_dgemm_independent-sizes_1.csv,4108,718,622
exp_dgemm_independent-sizes_1.csv,104,3669,3919
exp_dgemm_independent-sizes_1.csv,9763,1850,362
exp_dgemm_independent-sizes_1.csv,564,450,3011
exp_dgemm_independent-sizes_1.csv,2840,8646,201
exp_dgemm_independent-sizes_1.csv,2190,1345,2209
exp_dgemm_independent-sizes_1.csv,3372,1007,2470
exp_dgemm_independent-sizes_1.csv,3085,4437,50
exp_dgemm_independent-sizes_1.csv,7166,99,8328
exp_dgemm_independent-sizes_1.csv,4811,9689,49
exp_dgemm_independent-sizes_1.csv,809,2397,1297
exp_dgemm_independent-sizes_1.csv,4357,3392,514
exp_dgemm_independent-sizes_1.csv,758,2212,1908
exp_dgemm_independent-sizes_1.csv,5068,983,490
exp_dgemm_independent-sizes_1.csv,2618,312,4875
exp_dgemm_independent-sizes_1.csv,2234,1380,2284
exp_dgemm_independent-sizes_1.csv,95,2906,2076
exp_dgemm_independent-sizes_1.csv,2221,2350,456
exp_dgemm_independent-sizes_1.csv,209,732,1679
exp_dgemm_independent-sizes_1.csv,86,9025,4885
exp_dgemm_independent-sizes_1.csv,2247,478,4997
exp_dgemm_independent-sizes_1.csv,650,4334,1199
exp_dgemm_independent-sizes_1.csv,3490,1823,916
exp_dgemm_independent-sizes_1.csv,2320,8502,291
exp_dgemm_independent-sizes_1.csv,6629,1298,883
exp_dgemm_independent-sizes_1.csv,198,2570,4154
exp_dgemm_independent-sizes_1.csv,8114,330,2867
exp_dgemm_independent-sizes_1.csv,4142,1273,494
exp_dgemm_independent-sizes_1.csv,2010,4268,393
exp_dgemm_independent-sizes_1.csv,7882,2902,389
exp_dgemm_independent-sizes_1.csv,9111,15,4761
exp_dgemm_independent-sizes_1.csv,6424,1192,394
exp_dgemm_independent-sizes_1.csv,2513,1177,500
exp_dgemm_independent-sizes_1.csv,631,6713,502
exp_dgemm_independent-sizes_1.csv,5084,2255,421
exp_dgemm_independent-sizes_1.csv,1028,2614,2336
exp_dgemm_independent-sizes_1.csv,516,947,3651
exp_dgemm_independent-sizes_1.csv,5730,63,6799
exp_dgemm_independent-sizes_1.csv,62,3027,5950
exp_dgemm_independent-sizes_1.csv,8679,306,2932
exp_dgemm_independent-sizes_1.csv,1301,3348,174
exp_dgemm_independent-sizes_1.csv,4868,10,7025
exp_dgemm_independent-sizes_1.csv,752,36,8875
exp_dgemm_independent-sizes_1.csv,8182,181,3436
exp_dgemm_independent-sizes_1.csv,9653,1250,272
exp_dgemm_independent-sizes_1.csv,120,1842,3275
exp_dgemm_independent-sizes_1.csv,8,6374,2698
exp_dgemm_independent-sizes_1.csv,896,7031,1053
exp_dgemm_independent-sizes_1.csv,5531,12,8417
exp_dgemm_independent-sizes_1.csv,1091,3672,152
exp_dgemm_independent-sizes_1.csv,5212,80,7253
exp_dgemm_independent-sizes_1.csv,8,3010,8844
exp_dgemm_independent-sizes_1.csv,1701,227,3564
exp_dgemm_independent-sizes_1.csv,7223,3804,119
exp_dgemm_independent-sizes_1.csv,9766,16,3759
exp_dgemm_independent-sizes_1.csv,487,1285,7395
exp_dgemm_independent-sizes_1.csv,5471,235,771
exp_dgemm_independent-sizes_1.csv,3348,4416,504
exp_dgemm_independent-sizes_1.csv,3801,230,8082
exp_dgemm_independent-sizes_1.csv,9737,1181,676
exp_dgemm_independent-sizes_1.csv,436,6307,2599
exp_dgemm_independent-sizes_1.csv,154,9553,4602
exp_dgemm_independent-sizes_1.csv,164,3984,927
exp_dgemm_independent-sizes_1.csv,1513,1855,3446
exp_dgemm_independent-sizes_1.csv,9687,758,867
exp_dgemm_independent-sizes_1.csv,1643,670,5044
exp_dgemm_independent-sizes_1.csv,643,9905,1565
exp_dgemm_independent-sizes_1.csv,2,199,5885
exp_dgemm_independent-sizes_1.csv,83,6611,8484
exp_dgemm_independent-sizes_1.csv,9324,8823,59
exp_dgemm_independent-sizes_1.csv,5165,490,3021
exp_dgemm_independent-sizes_1.csv,907,1654,903
exp_dgemm_independent-sizes_1.csv,322,2893,7405
exp_dgemm_independent-sizes_1.csv,2135,506,6274
exp_dgemm_independent-sizes_1.csv,1066,5452,407
exp_dgemm_independent-sizes_1.csv,7861,99,1091
exp_dgemm_independent-sizes_1.csv,213,1607,9087
exp_dgemm_independent-sizes_1.csv,5389,173,6581
exp_dgemm_independent-sizes_1.csv,7227,1517,480
exp_dgemm_independent-sizes_1.csv,1047,749,6585
exp_dgemm_independent-sizes_1.csv,1009,8730,417
exp_dgemm_independent-sizes_1.csv,4226,20,9393
exp_dgemm_independent-sizes_1.csv,505,1139,7784
exp_dgemm_independent-sizes_1.csv,398,6702,1234
exp_dgemm_independent-sizes_1.csv,5115,187,4976
exp_dgemm_independent-sizes_1.csv,8853,109,9223
exp_dgemm_independent-sizes_1.csv,340,2439,9272
exp_dgemm_independent-sizes_1.csv,4603,2960,32
exp_dgemm_independent-sizes_1.csv,93,9758,3827
exp_dgemm_independent-sizes_1.csv,3343,1847,135
exp_dgemm_independent-sizes_1.csv,5001,5923,179
exp_dgemm_independent-sizes_1.csv,4462,512,3733
exp_dgemm_independent-sizes_1.csv,6029,995,411
exp_dgemm_independent-sizes_1.csv,5942,569,2551
exp_dgemm_independent-sizes_1.csv,401,4739,905
exp_dgemm_independent-sizes_1.csv,3280,489,696
exp_dgemm_independent-sizes_1.csv,6612,8214,133
exp_dgemm_independent-sizes_1.csv,2502,3455,221
exp_dgemm_independent-sizes_1.csv,1606,151,1624
exp_dgemm_independent-sizes_1.csv,679,430,5811
exp_dgemm_independent-sizes_1.csv,703,4736,45
exp_dgemm_independent-sizes_1.csv,1593,780,7091
exp_dgemm_independent-sizes_1.csv,131,4464,1218
exp_dgemm_independent-sizes_1.csv,419,2512,7777
exp_dgemm_independent-sizes_1.csv,6186,2,9314
exp_dgemm_independent-sizes_1.csv,113,9082,5813
exp_dgemm_independent-sizes_1.csv,3153,780,3609
exp_dgemm_independent-sizes_1.csv,2702,246,9915
exp_dgemm_independent-sizes_1.csv,2537,237,7760
exp_dgemm_independent-sizes_1.csv,334,1311,753
exp_dgemm_independent-sizes_1.csv,1933,445,6034
exp_dgemm_independent-sizes_1.csv,518,890,9785
exp_dgemm_independent-sizes_1.csv,3699,767,1450
exp_dgemm_independent-sizes_1.csv,2564,1781,1999
exp_dgemm_independent-sizes_1.csv,324,2367,1767
exp_dgemm_independent-sizes_1.csv,80,1305,5708
exp_dgemm_independent-sizes_1.csv,4094,57,4640
exp_dgemm_independent-sizes_1.csv,187,1561,8168
exp_dgemm_independent-sizes_1.csv,282,5475,4483
