processor,transistor_count,date,designer,process,area
"Xenon (64-bit, 128-bit SIMD, large cache)",165000000.0,2005,IBM,90.0,
"Cell (32-bit, cache)",250000000.0,2005,Sony/IBM/Toshiba,90.0,221.0
"Pentium 4 Cedar Mill (32-bit, large cache)",184000000.0,2006,Intel,65.0,90.0
"Pentium D Presler (32-bit, large cache)",362000000.0,2006,Intel,65.0,162.0
"Core 2 Duo Conroe (dual-core 64-bit, large caches)",291000000.0,2006,Intel,65.0,143.0
"Dual-core Itanium 2 (64-bit, SIMD, large caches)",1700000000.0,2006,Intel,90.0,596.0
"AMD K10 quad-core 2M L3 (64-bit, large caches)",463000000.0,2007,AMD,65.0,283.0
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)",26000000.0,2007,ARM,45.0,31.0
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)",411000000.0,2007,Intel,45.0,107.0
"POWER6 (64-bit, large caches)",789000000.0,2007,IBM,65.0,341.0
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches)",169000000.0,2007,Intel,65.0,111.0
Uniphier,250000000.0,2007,Matsushita,45.0,
"SPARC64 VI (64-bit, SIMD, large caches)",540000000.0,2007,Fujitsu,90.0,421.0
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)",230000000.0,2008,Intel,45.0,83.0
"Core i7 (quad-core 64-bit, SIMD, large caches)",731000000.0,2008,Intel,45.0,263.0
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)",758000000.0,2008,AMD,45.0,258.0
"Atom (32-bit, large cache)",47000000.0,2008,Intel,45.0,24.0
"SPARC64 VII (64-bit, SIMD, large caches)",600000000.0,2008,Fujitsu,65.0,445.0
"Six-core Xeon 7400 (64-bit, SIMD, large caches)",1900000000.0,2008,Intel,45.0,503.0
"Six-core Opteron 2400 (64-bit, SIMD, large caches)",904000000.0,2009,AMD,45.0,346.0
"SPARC64 VIIIfx (64-bit, SIMD, large caches)",760000000.0,2009,Fujitsu,45.0,513.0
"SPARC T3 (16-core 64-bit, SIMD, large caches)",1000000000.0,2010,Sun/Oracle,40.0,377.0
Six-core Core i7 (Gulftown),1170000000.0,2010,Intel,32.0,240.0
"POWER7 32M L3 (8-core 64-bit, SIMD, large caches)",1200000000.0,2010,IBM,45.0,567.0
"Quad-core z196[86] (64-bit, very large caches)",1400000000.0,2010,IBM,45.0,512.0
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)",2000000000.0,2010,Intel,65.0,699.0
"Xeon Nehalem-EX (8-core 64-bit, SIMD, large caches)",2300000000.0,2010,Intel,45.0,684.0
"SPARC64 IXfx (64-bit, SIMD, large caches)",1870000000.0,2011,Fujitsu,40.0,484.0
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)",1160000000.0,2011,Intel,32.0,216.0
"Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP) (64-bit, SIMD, large caches)",2270000000.0,2011,Intel,32.0,434.0
"Xeon Westmere-EX (10-core 64-bit, SIMD, large caches)",2600000000.0,2011,Intel,32.0,512.0
"Atom ""Medfield"" (64-bit)",432000000.0,2012,Intel,32.0,64.0
"SPARC64 X (64-bit, SIMD, caches)",2990000000.0,2012,Fujitsu,28.0,600.0
"AMD Bulldozer (8-core 64-bit, SIMD, caches)",1200000000.0,2012,AMD,32.0,315.0
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)",1303000000.0,2012,AMD,32.0,246.0
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)",1400000000.0,2012,Intel,22.0,160.0
"POWER7+ (8-core 64-bit, SIMD, 80 MB L3 cache)",2100000000.0,2012,IBM,32.0,567.0
"Six-core zEC12 (64-bit, SIMD, large caches)",2750000000.0,2012,IBM,32.0,597.0
"Itanium Poulson (8-core 64-bit, SIMD, caches)",3100000000.0,2012,Intel,32.0,544.0
"Xeon Phi (61-core 32-bit, 512-bit SIMD, caches)",5000000000.0,2012,Intel,22.0,720.0
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)",1000000000.0,2013,Apple,28.0,102.0
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)",1860000000.0,2013,Intel,22.0,256.0
"POWER8 (12-core 64-bit, SIMD, caches)",4200000000.0,2013,IBM,22.0,650.0
"Xbox One main SoC (64-bit, SIMD, caches)",5000000000.0,2013,Microsoft/AMD,28.0,363.0
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)",1400000000.0,2014,Intel,22.0,177.0
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000.0,2014,Apple,20.0,89.0
"Core i7 Haswell-E (8-core 64-bit, SIMD, caches)",2600000000.0,2014,Intel,22.0,355.0
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000.0,2014,Apple,20.0,128.0
"Xeon Ivy Bridge-EX (15-core 64-bit, SIMD, caches)",4310000000.0,2014,Intel,22.0,541.0
"Xeon Haswell-E5 (18-core 64-bit, SIMD, caches)",5560000000.0,2014,Intel,22.0,661.0
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)",1750000000.0,2015,Intel,14.0,122.0
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)",1900000000.0,2015,Intel,14.0,133.0
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000.0,2015,Apple,14.0,96.0
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",2000000000.0,2015,Apple,16.0,104.0
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000.0,2015,Apple,16.0,143.0
"IBM z13 (64-bit, caches)",3990000000.0,2015,IBM,22.0,678.0
IBM z13 Storage Controller,7100000000.0,2015,IBM,22.0,678.0
"SPARC M7 (32-core 64-bit, SIMD, caches)",10000000000.0,2015,Oracle,20.0,
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3000000000.0,2016,Qualcomm,10.0,72.0
"Core i7 Broadwell-E (10-core 64-bit, SIMD, caches)",3200000000.0,2016,Intel,14.0,246.0
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",3300000000.0,2016,Apple,16.0,125.0
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4000000000.0,2016,Huawei,16.0,110.0
"Xeon Broadwell-E5 (22-core 64-bit, SIMD, caches)",7200000000.0,2016,Intel,14.0,456.0
"Xeon Phi (72-core 64-bit, 512-bit SIMD, caches)",8000000000.0,2016,Intel,14.0,683.0
"Zip CPU (32-bit, for FPGAs)",1286.0,2016,Gisselquist Technology,,
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000.0,2017,Qualcomm,10.0,94.0
"Qualcomm Snapdragon 850 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5300000000.0,2017,Qualcomm,10.0,94.0
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4300000000.0,2017,Apple,10.0,89.0
"Zeppelin SoC Ryzen (64-bit, SIMD, caches)",4800000000.0,2017,AMD,14.0,192.0
"Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)",4800000000.0,2017,AMD,14.0,213.0
"Ryzen 5 1600 X Ryzen (64-bit, SIMD, caches)",4800000000.0,2017,AMD,14.0,213.0
"IBM z14 (64-bit, SIMD, caches)",6100000000.0,2017,IBM,14.0,696.0
IBM z14 Storage Controller (64-bit),9700000000.0,2017,IBM,14.0,696.0
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",5500000000.0,2017,Huawei,10.0,96.0
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)",7000000000.0,2017,Microsoft/AMD,16.0,360.0
"Xeon Platinum 8180 (28-core 64-bit, SIMD, caches)",8000000000.0,2017,Intel,14.0,
"POWER9 (64-bit, SIMD, caches)",8000000000.0,2017,IBM,14.0,695.0
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)",250000000.0,2017,SiFive,28.0,30.0
"SPARC64 XII (12-core 64-bit, SIMD, caches)",5450000000.0,2017,Fujitsu,20.0,795.0
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",4300000000.0,2017,Apple,10.0,96.0
"Centriq 2400 (64/32-bit, SIMD, caches)",18000000000.0,2017,Qualcomm,10.0,398.0
"AMD Epyc (32-core 64-bit, SIMD, caches)",19200000000.0,2017,AMD,14.0,768.0
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",5500000000.0,2018,Huawei,12.0,
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000.0,2018,Apple,7.0,83.0
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",6900000000.0,2018,Huawei,7.0,74.0
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",8500000000.0,2018,Qualcomm,7.0,112.0
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",10000000000.0,2018,Apple,7.0,122.0
"Fujitsu A64FX (64/32-bit, SIMD, caches)",8786000000.0,2018,Fujitsu,7.0,
Tegra Xavier SoC (64/32-bit),9000000000.0,2018,Nvidia,12.0,350.0
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)",5990000000.0,2019,AMD,7.0,199.0
HiSilicon Kirin 990 4G,8000000000.0,2019,Huawei,7.0,90.0
"Apple A13 (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",8500000000.0,2019,Apple,7.0,98.0
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)",9890000000.0,2019,AMD,7.0,273.0
HiSilicon Kirin 990 5G,10300000000.0,2019,Huawei,7.0,113.0
"AWS Graviton2 (64-bit, 64-core ARM-based, SIMD, caches)[135][136]",30000000000.0,2019,Amazon,7.0,
"AMD Epyc Rome (64-bit, SIMD, caches)",39540000000.0,2019,AMD,7.0,1008.0
"Apple A14 Bionic (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",11800000000.0,2020,Apple,5.0,88.0
"Apple M1 (octa-core 64-bit ARM64 SoC, SIMD, caches)",16000000000.0,2020,Apple,5.0,119.0
HiSilicon Kirin 9000,15300000000.0,2020,Huawei,5.0,
